Ticker;Nome;Setor ICB
EURO11 BZ Equity;FUNDO DE INVEST IMOB EUROPAR;Equity Investment Instruments
CTKA4 BZ Equity;CIA TEXTIL KARSTEN-PREF;Personal Goods
MEND6 BZ Equity;MENDES JUNIOR ENGENHARIA-PRB;Construction & Materials
BDLL4 BZ Equity;BARDELLA SA INDUSTRIAS-PREF;Industrial Engineering
CRDE3 BZ Equity;CR2 EMPREENDIMENTOS IMOBILIA;Real Estate Investment & Services
XBOV11 BZ Equity;CAIXA ETF IBOVESPA FI;#N/A N/A
HCRI11 BZ Equity;FI IMOB HOSPITAL CRIANCA;#N/A N/A
BAUH3 BZ Equity;EXCELSIOR ALIMENTOS SA;Food Producers
HOOT4 BZ Equity;HOTEIS OTHON S.A.-PREF;Travel & Leisure
FLRP11 BZ Equity;FLORIPA SHOPPING FI IMOBILIA;Equity Investment Instruments
CPTS11B BZ Equity;FII CAPITANIA SECURITIES II;#N/A N/A
DIVO11 BZ Equity;IT NOW IDIV FUNDO DE INDICE;#N/A N/A
CEDO4 BZ Equity;CIA DE FIACAO E TECIDOS-PREF;Personal Goods
RBGS11 BZ Equity;RB CAPITAL GENERAL SHOPPING;Real Estate Investment & Services
SOND6 BZ Equity;SONDOTECNICA ENGENHARIA-PR B;Support Services
RDES11 BZ Equity;RENDA DE ESCRITORIOS FII;#N/A N/A
RCSL4 BZ Equity;RECRUSUL SA-PREF;Industrial Engineering
FRTA3 BZ Equity;POMIFRUTAS SA;Food Producers
EALT4 BZ Equity;ELECTRO ACO ALTONA SA-PREF;Industrial Metals & Mining
AZEV4 BZ Equity;AZEVEDO E TRAVASSOS SA-PREF;Support Services
MFII11 BZ Equity;FII MERITO I;Nonequity Investment Instruments
HAGA4 BZ Equity;FERRAGENS HAGA SA-PREF;Household Goods & Home Construction
CALI4 BZ Equity;CONST ADOLPHO LINDENBERG-PRF;Construction & Materials
RBVO11 BZ Equity;RIO BRAVO CRED IMOB II FII;#N/A N/A
FIND11 BZ Equity;IT NOW IFNC FUNDO DE INDICE;Nonequity Investment Instruments
FIXX11 BZ Equity;FII FATOR IFIX;#N/A N/A
CXTL11 BZ Equity;FI IM CAIXA TRX LOGISTICA RE;#N/A N/A
OSXB3 BZ Equity;OSX BRASIL SA;Oil Equipment, Services & Distribution
LUPA3 BZ Equity;LUPATECH SA;Oil Equipment, Services & Distribution
BAHI3 BZ Equity;BAHEMA SA;Industrial Engineering
